id,name_zh,name_ja,category,has_milk,caffeine,refreshing,rich,fruity,chewy,jelly
1,茉莉綠茶,ジャスミン緑茶,Pure Tea,0,medium,1,0,0,0,0
2,四季春青茶,四季春ウーロン茶,Pure Tea,0,medium,1,0,0,0,0
3,手採紅茶,紅茶,Pure Tea,0,high,1,0,0,0,0
4,百香雙響炮,タピオカ・ナタデココ付パッションフルーツ緑茶,Fruit Tea,0,medium,1,0,1,1,1
5,珍珠奶茶,タピオカミルクティー,Milk Tea,1,high,0,1,0,1,0
6,奶茶三兄弟,3種トッピングミルクティー,Milk Tea,1,high,0,1,0,1,1
7,巧克力珍珠奶茶,タピオカチョコミルクティー,Chocolate,1,none,0,1,0,1,0
8,莓果派對,ベリーパーティー,Fruit Tea,0,low,1,0,1,0,1
9,芋頭牛奶,タロ芋ミルク,Latte,1,none,0,1,0,0,0
10,珍珠鮮奶茶,タピオカフレッシュミルクティー,Latte,1,medium,0,1,0,1,0
11,茉莉輕乳,ジャスミンミルク（軽め）,Tea Latte,1,medium,1,0,0,0,0
12,日式焙茶,日式ほうじ茶,Hojicha,0,low,1,0,0,0,0
13,綠茶養樂多,ヤクルト緑茶,Fruit Tea,0,low,1,0,1,0,0
14,燕麥奶茶,オートミールミルクティー,Oat Milk,1,high,0,1,0,1,0
15,誠意燒仙草,仙草ゼリー（冬季限定）,Dessert,0,none,0,1,0,1,1
